utp_id;cd_mun;nm_mun
255;2201804;2201804
255;2204907;2204907
255;2210300;2210300
255;2211605;2211605
255;2203404;2203404
255;2210375;2210375
255;2204709;2204709
255;2202133;2202133
255;2206506;2206506
255;2209351;2209351
255;2205201;2205201
255;2204808;2204808
643;2206357;2206357
643;2205573;2205573
643;2208403;2208403
643;2210052;2210052
643;2207900;2207900
643;2209872;2209872
643;2202406;2202406
643;2201960;2201960
643;2203420;2203420
643;2208304;2208304
703;2210904;2210904
703;2201556;2201556
703;2202455;2202455
703;2207306;2207306
703;2205565;2205565
703;2210805;2210805
703;2210003;2210003
703;2207934;2207934
703;2207959;2207959
703;2205359;2205359
703;2209658;2209658
703;2202117;2202117
703;2202109;2202109
703;2208874;2208874
15;2207504;2207504
15;2209450;2209450
15;2200103;2200103
15;2201408;2201408
15;2200202;2200202
15;2204600;2204600
15;2205540;2205540
15;2209807;2209807
15;2210508;2210508
15;2207108;2207108
15;2200608;2200608
15;2207751;2207751
15;2208809;2208809
15;2205250;2205250
716;2202851;2202851
716;2200707;2200707
716;2205532;2205532
716;2202505;2202505
716;2211357;2211357
716;2209559;2209559
716;2210607;2210607
716;2201929;2201929
716;2203750;2203750
716;2203354;2203354
716;2210359;2210359
716;2203453;2203453
336;2202737;2202737
336;2203255;2203255
336;2206308;2206308
336;2205508;2205508
336;2205557;2205557
336;2205581;2205581
336;2211001;2211001
336;2206720;2206720
336;2211100;2211100
336;2203305;2203305
336;2206407;2206407
336;2201606;2201606
336;2112209;2112209
336;2200400;2200400
355;2205904;2205904
355;2101806;2101806
355;2110807;2110807
355;2211209;2211209
355;2200806;2200806
355;2202251;2202251
355;2110658;2110658
355;2210631;2210631
355;2201705;2201705
751;2200905;2200905
751;2208601;2208601
751;2209153;2209153
751;2208106;2208106
751;2205599;2205599
751;2206902;2206902
751;2211308;2211308
751;2209609;2209609
751;2210383;2210383
751;2203503;2203503
753;2210979;2210979
753;2211407;2211407
753;2201176;2201176
753;2204006;2204006
753;2201002;2201002
753;2202075;2202075
188;2307403;2307403
188;2303600;2303600
188;2300606;2300606
188;2314003;2314003
188;2303303;2303303
188;2301604;2301604
188;2300309;2300309
188;2311900;2311900
188;2304806;2304806
188;2311355;2311355
188;2305506;2305506
188;2303808;2303808
188;2300804;2300804
188;2313252;2313252
388;2302206;2302206
388;2305357;2305357
388;2304459;2304459
388;2306207;2306207
388;2301109;2301109
410;2310506;2310506
410;2307635;2307635
410;2302404;2302404
435;2303907;2303907
435;2302602;2302602
435;2307908;2307908
435;2313906;2313906
435;2302057;2302057
435;2304707;2304707
435;2314102;2314102
279;2303956;2303956
279;2303501;2303501
487;2304103;2304103
487;2311009;2311009
487;2309409;2309409
487;2301257;2301257
487;2305605;2305605
487;2305654;2305654
111;2309706;2309706
111;2301000;2301000
111;2310852;2310852
111;2304954;2304954
111;2303709;2303709
111;2307700;2307700
111;2305233;2305233
111;2309607;2309607
111;2312403;2312403
111;2304400;2304400
111;2306256;2306256
111;2307650;2307650
111;2304285;2304285
693;2305308;2305308
693;2313609;2313609
693;2312304;2312304
693;2303402;2303402
693;2313401;2313401
693;2305803;2305803
693;2305001;2305001
693;2305902;2305902
693;2304236;2304236
544;2306405;2306405
544;2306553;2306553
544;2308377;2308377
544;2308906;2308906
544;2300754;2300754
550;2301802;2301802
550;2310803;2310803
550;2306702;2306702
550;2305407;2305407
550;2309508;2309508
550;2301703;2301703
550;2313708;2313708
550;2305704;2305704
550;2307502;2307502
550;2306801;2306801
550;2306900;2306900
557;2302305;2302305
557;2307254;2307254
557;2307809;2307809
557;2300200;2300200
557;2304251;2304251
187;2309201;2309201
187;2308401;2308401
187;2307106;2307106
187;2301901;2301901
187;2312106;2312106
187;2303204;2303204
187;2304202;2304202
187;2307304;2307304
187;2304301;2304301
728;2303659;2303659
728;2309300;2309300
728;2308609;2308609
728;2313203;2313203
719;2313005;2313005
719;2308500;2308500
719;2308351;2308351
719;2310902;2310902
719;2311405;2311405
719;2304269;2304269
719;2312700;2312700
NOVA25;2310704;2310704
NOVA25;2303931;2303931
NOVA25;2306603;2306603
NOVA25;2301851;2301851
NOVA25;2313807;2313807
NOVA25;2311306;2311306
NOVA25;2301950;2301950
NOVA25;2309805;2309805
NOVA25;2304608;2304608
NOVA25;2313559;2313559
NOVA25;2305100;2305100
NOVA25;2302909;2302909
NOVA25;2302107;2302107
NOVA25;2306504;2306504
NOVA25;2305266;2305266
NOVA25;2313757;2313757
NOVA25;2311603;2311603
NOVA25;2300903;2300903
NOVA25;2313351;2313351
NOVA25;2301406;2301406
NOVA25;2300150;2300150
NOVA25;2310407;2310407
NOVA25;2306306;2306306
NOVA25;2302800;2302800
NOVA25;2309458;2309458
NOVA25;2310100;2310100
NOVA25;2301208;2301208
NOVA25;2309102;2309102
NOVA25;2303006;2303006
674;2310001;2310001
674;2311801;2311801
674;2307007;2307007
685;2312205;2312205
685;2305209;2305209
685;2306108;2306108
325;2312809;2312809
325;2300507;2300507
325;2304004;2304004
325;2304905;2304905
325;2313955;2313955
325;2304657;2304657
325;2309003;2309003
325;2308203;2308203
325;2312007;2312007
325;2303105;2303105
325;2312908;2312908
325;2308807;2308807
325;2311702;2311702
325;2304509;2304509
325;2308005;2308005
325;2310951;2310951
325;2309904;2309904
325;2304350;2304350
733;2311264;2311264
733;2300408;2300408
733;2310308;2310308
733;2313302;2313302
733;2301505;2301505
166;2312601;2312601
166;2313500;2313500
166;2310209;2310209
166;2310258;2310258
NOVA24;2403004;2403004
NOVA24;2502003;2502003
NOVA24;2508109;2508109
NOVA24;2404804;2404804
NOVA24;2514651;2514651
NOVA24;2411809;2411809
NOVA24;2502904;2502904
NOVA24;2512101;2512101
NOVA24;2400505;2400505
NOVA24;2410603;2410603
NOVA24;2405207;2405207
NOVA24;2400604;2400604
NOVA24;2513927;2513927
NOVA24;2510907;2510907
NOVA24;2513968;2513968
NOVA24;2402006;2402006
NOVA24;2412104;2412104
NOVA24;2413409;2413409
NOVA24;2509370;2509370
NOVA24;2512804;2512804
NOVA24;2409308;2409308
NOVA24;2407609;2407609
NOVA24;2503753;2503753
NOVA24;2504306;2504306
NOVA24;2405603;2405603
NOVA24;2412401;2412401
NOVA24;2513901;2513901
NOVA24;2507408;2507408
NOVA24;2406106;2406106
NOVA24;2408409;2408409
NOVA24;2502300;2502300
NOVA24;2414308;2414308
NOVA24;2502805;2502805
99;2408508;2408508
99;2414159;2414159
99;2406502;2406502
99;2405702;2405702
99;2401651;2401651
99;2402105;2402105
99;2411700;2411700
99;2408904;2408904
99;2405009;2405009
99;2403103;2403103
99;2406809;2406809
99;2411429;2411429
99;2402709;2402709
99;2400109;2400109
99;2402808;2402808
99;2402402;2402402
99;2411205;2411205
99;2403806;2403806
99;2413003;2413003
61;2407203;2407203
61;2405108;2405108
61;2401859;2401859
61;2409506;2409506
61;2404101;2404101
