Municipio_ID,Municipio_Nome,UTP_Origem,UTP_Destino,Motivo,Pontuacao_Scores,E_Sede_Original,Timestamp
1100189,Pimenta Bueno,759,759,0/1: Target has Airport,0/1,True,2026-01-26T14:47:00.452128
1502707,Conceição do Araguaia,662,662,0/0: REGIC Priority (Centro Sub-Regional A > Centro de Zona A),0/0,True,2026-01-26T14:47:00.467874
1600709,Tartarugalzinho,202,202,0/2: Target has Airport,0/2,True,2026-01-26T14:47:00.512467
1720903,Taguatinga,38,38,0/0: REGIC Priority (Centro Sub-Regional B > Centro Local),0/0,True,2026-01-26T14:47:00.903649
2100055,Açailândia,128,128,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.211792
2103000,Caxias,336,336,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.269955
2112506,Tutóia,407,407,0/1: Target has Airport,0/1,True,2026-01-26T14:47:01.333292
2200251,Alagoinha do Piauí,255,255,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,True,2026-01-26T14:47:01.338883
2202208,Campo Maior,336,336,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.360967
2206209,Miguel Alves,336,336,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.368461
2210508,São Pedro do Piauí,336,336,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.374174
2303501,Cascavel,111,111,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.391687
2311603,Redenção,111,111,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.400261
2312205,Santa Quitéria,325,325,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.490794
2500403,Alagoa Nova,65,65,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.511052
2506905,Itabaiana,185,185,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.528949
2600203,Afrânio,253,253,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.553797
2603009,Cabrobó,675,675,0/0: REGIC Priority (Centro Sub-Regional B > Centro Local),0/0,True,2026-01-26T14:47:01.583055
2612604,Santa Maria da Boa Vista,253,253,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.598259
2709301,União dos Palmares,203,203,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.638708
2709400,Viçosa,203,203,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.651689
2901304,Andaraí,623,623,0/1: Target has Airport,0/1,True,2026-01-26T14:47:01.683274
2905008,Caculé,520,520,0/1: Target has Airport,0/1,True,2026-01-26T14:47:01.697915
2905206,Caetité,520,520,0/1: Target has Airport,0/1,True,2026-01-26T14:47:01.743378
2908101,Cocos,591,591,0/0: REGIC Priority (Centro de Zona B > Centro Local),0/0,True,2026-01-26T14:47:01.874566
2910404,Encruzilhada,362,362,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.900248
2914802,Itabuna,126,126,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.929190
2929255,São Gabriel,538,538,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,True,2026-01-26T14:47:01.947153
2933208,Vera Cruz,291,291,0/2: Target has Airport,0/2,True,2026-01-26T14:47:01.954801
3108552,Brasilândia de Minas,558,558,0/0: REGIC Priority (Centro de Zona A > Centro Local),0/0,True,2026-01-26T14:47:02.025969
3146305,Padre Paraíso,335,335,0/2: Target has Airport,0/2,True,2026-01-26T14:47:02.047736
4301305,Arroio Grande,251,251,0/2: Target has Airport,0/2,True,2026-01-26T14:47:02.143662
3150570,Pintópolis,197,197,0/0: REGIC Priority (Centro de Zona B > Centro Local),0/0,True,2026-01-26T14:47:02.186609
