mun_origem,mun_destino,viagens
3302858,3304557,292409.550430918
3303203,3304557,263628.422743413
3300456,3304557,906379.165154305
3305109,3304557,812221.765625975
3301702,3304557,1396582.05532528
3302502,3304557,385243.358510297
3301850,3304557,87282.853538184
3302270,3303609,4054.48819553195
3303500,3303609,6742.7990167899
3302858,3303609,2022.75814220866
3303203,3303609,1348.6413661863
3303500,3302270,22646.6837717436
3302858,3302270,5501.1356766795
3303203,3302270,3856.66297895039
3302858,3303500,73304.383681401
3303203,3303500,71197.181371745
3303203,3302858,22568.0765822046
3305109,3300456,88325.6576849145
3301702,3300456,86217.6241813455
3302502,3300456,21970.133319416
3301850,3300456,5342.39394856215
3301702,3305109,88353.7260289145
3302502,3305109,22364.0104362802
3301850,3305109,5382.4477252145
3302502,3301702,57623.7767484065
3301850,3301702,25350.1216569753
3301850,3302502,6552.28556987615
1505536,2111300,149752.022115311
3201308,3106200,448027.129085417
3144706,3131703,12901.0136437942
3516309,3550308,5559270.8979245
3516408,3550308,14744.2069221569
3509007,3550308,3350.10873203094
3534401,3550308,40754.0298977775
3510609,3550308,24915.9613336836
3505708,3550308,14361.7836212679
3525003,3550308,11200.1153563416
3522505,3550308,14200.5511360445
3515707,3550308,12998.8652696144
3539806,3550308,9072.35040291005
3523107,3550308,21377.4121345479
3552502,3550308,14616.2286370109
3530607,3550308,8891.46770855015
3548807,3550308,1262.65189990518
3547809,3550308,17905.8751870831
3529401,3550308,11401.1521113545
3543303,3550308,3119.84858907138
3544103,3550308,1244.51324531756
3516408,3516309,1608.07688721577
3509007,3516309,1322.36177317281
3523107,3516309,44.0787257724269
3509007,3516408,900.757949726425
3534401,3516408,1171.51832751402
3510609,3534401,4761.58824220575
3505708,3534401,2311.48303304551
3525003,3534401,1801.53157392468
3522505,3534401,4792.76431394239
3548807,3534401,136.952029414546
3547809,3534401,2590.95424754186
3529401,3534401,575.643895994475
3505708,3510609,3834.43812706922
3525003,3510609,2171.49962051202
3522505,3510609,2359.96939889608
3525003,3505708,336.806607758266
3522505,3505708,4498.86544887753
3522505,3525003,2146.7742402792
3523107,3515707,353.947312408667
3552502,3515707,1499.5666947286
3530607,3515707,2174.24777622466
3548807,3515707,920.06472245166
3523107,3539806,1792.13381476864
3552502,3539806,1097.93073739263
3530607,3539806,4558.99509039901
3530607,3523107,3085.26513002659
3543303,3523107,295.802649054365
3530607,3552502,8168.543482971
3548807,3552502,160.368230450977
3547809,3552502,288.890287479064
3529401,3552502,613.60752005888
3547809,3530607,652.133090267135
3547809,3548807,6272.1292165806
3529401,3548807,5879.0757856749
3543303,3548807,1429.00010651095
3544103,3548807,546.720596711945
3529401,3547809,15786.7606968938
3543303,3547809,6200.7976723604
3544103,3547809,3314.58451884776
3543303,3529401,1998.5097996775
3544103,3529401,878.133093797685
3544103,3543303,1350.53895837437
